d_true,d_ancom_bc,d_uq1,d_uq2,d_tmm1,d_tmm2,d_css,d_med,d_wrench,d_tss,group,method,value,method_var,method_abb,label
-2.121408706892177,-1.1429599794343641,10.769124816910105,-0.27456472405329513,10.610844603864805,-0.4328449370985946,6.645090969505644,-0.45806199344367887,-0.32834914768677126,11.0436895409634,G3,diff_wrench,-0.2594693039360134,0.055,Wrench,"Wrench
(0.055)"
-1.9104987167306726,-0.9088217024154082,10.94568266898731,-0.31251827422250633,10.827206278188772,-0.43099466502104433,6.825460036255307,-0.2556733188826596,-0.0883535723471706,11.258200943209816,G3,diff_wrench,-0.28855488911410965,0.055,Wrench,"Wrench
(0.055)"
-2.2472171521310127,-1.204227433639191,10.867564889723358,-0.053415275195891995,10.487002973404582,-0.43397719151466885,6.580639137284949,-0.5151543317384735,-0.3930188983259083,10.92098016491925,G3,diff_wrench,-0.320607998535712,0.055,Wrench,"Wrench
(0.055)"
-1.9274146368081437,-0.9463609713805735,11.039415146650018,-0.18839827384884314,10.781095482241447,-0.4467179382574142,6.78897174299217,-0.3240594649689667,-0.12222113680486686,11.22781342049886,G3,diff_wrench,-0.27160324473388453,0.055,Wrench,"Wrench
(0.055)"
-1.9578735902796611,-0.9714116850631407,11.034138089549174,-0.16632068614664272,10.758653448935025,-0.44180532676079143,6.810142450115136,-0.31027245004197973,-0.1591762878232952,11.200458775695816,G3,diff_wrench,-0.26510704718697364,0.055,Wrench,"Wrench
(0.055)"
-2.1128002597408866,-1.1071271686057917,10.962875069527684,-0.09331830839004952,10.620761088349683,-0.43543228956804964,6.731018100482083,-0.41595254170164947,-0.2940123481082356,11.056193377917733,G3,diff_wrench,-0.2851976563632588,0.055,Wrench,"Wrench
(0.055)"
-2.270998329577405,-1.267791267205687,10.712372000317657,-0.17808839467815732,10.460311118835294,-0.43014927616052,6.490723534502507,-0.6281378357028973,-0.4455937300335108,10.890460394995813,G3,diff_wrench,-0.2918143442745018,0.055,Wrench,"Wrench
(0.055)"
-2.2304009350486034,-1.2245507925345267,10.775997696197868,-0.1554829517748343,10.501090768062136,-0.4303898799105661,6.546785410760524,-0.5356214440418553,-0.4088718227489277,10.931480647972702,G3,diff_wrench,-0.28793885703028343,0.055,Wrench,"Wrench
(0.055)"
-2.134662039706363,-1.1357574460529472,10.848636879837839,-0.1803807387168013,10.59278554011175,-0.4362320784428907,6.610696044717759,-0.47298327232414383,-0.3209586410183315,11.02901761855464,G3,diff_wrench,-0.28011314341863947,0.055,Wrench,"Wrench
(0.055)"
-2.1024323094788984,-1.1036704103749837,10.822828995881967,-0.24158815138713222,10.640524286625265,-0.4238928606438342,6.70073110954781,-0.39039513191269454,-0.280589205435956,11.064417147269099,G3,diff_wrench,-0.28825284877355006,0.055,Wrench,"Wrench
(0.055)"
-1.9772675743801766,-0.9821728759052994,10.94568266898731,-0.23973822934396538,10.74446963608205,-0.44095126224922626,6.78332520060396,-0.35057635775483603,-0.17367647362193156,11.185420898331277,G3,diff_wrench,-0.2700008454888527,0.055,Wrench,"Wrench
(0.055)"
